year,treated,cell,n,mass,share,factor
2025,1,1_TRB,441,35.60506802016187,0.008195117718189924,1.1195923136860777
2025,1,1_TRC,532,79.16885306479162,0.01822207080499488,0.7032449820978832
2025,1,2_TR1,578,211.2023976706412,0.04861185801680704,0.9455220793287726
2025,1,2_TR2,435,40.65684761551267,0.009357871527473657,0.9910741213442111
2025,1,2_TR3,894,131.2773894532004,0.030215745120791112,1.035610565475183
2025,1,2_TR4,750,95.838427809304,0.022058859637025415,1.027400764979026
2025,1,2_TR5,826,121.29232178578086,0.02791751036072104,0.9662493276860956
2025,1,2_TR6,780,119.80804837524833,0.027575879351382556,1.0386596036491214
2025,1,2_TR7,484,42.28185869096376,0.009731895726757395,1.0483711707710544
2025,1,2_TR8,558,44.966274340763185,0.010349760078040204,1.044099132009224
2025,1,2_TR9,330,29.361712116583455,0.006758102163061417,0.9780983164503398
2025,1,2_TRA,298,13.797862034900033,0.0031758148466762923,1.04566706749274
2025,1,2_TRB,306,22.955121526932047,0.00528351534231133,0.9350669324104405
2025,1,2_TRC,401,47.59268221533397,0.01095427294390246,1.0188185439990936
